municipio_norm,uf,municipio_ibge,codigo_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
ALTA FLORESTA DOESTE,RO,Alta Floresta D'Oeste,1100015,Ji-Paraná,Cacoal,Leste Rondoniense
ARIQUEMES,RO,Ariquemes,1100023,Porto Velho,Ariquemes,Leste Rondoniense
CABIXI,RO,Cabixi,1100031,Ji-Paraná,Vilhena,Leste Rondoniense
CACOAL,RO,Cacoal,1100049,Ji-Paraná,Cacoal,Leste Rondoniense
CEREJEIRAS,RO,Cerejeiras,1100056,Ji-Paraná,Vilhena,Leste Rondoniense
COLORADO DO OESTE,RO,Colorado do Oeste,1100064,Ji-Paraná,Vilhena,Leste Rondoniense
CORUMBIARA,RO,Corumbiara,1100072,Ji-Paraná,Vilhena,Leste Rondoniense
COSTA MARQUES,RO,Costa Marques,1100080,Ji-Paraná,Ji-Paraná,Madeira-Guaporé
ESPIGAO DOESTE,RO,Espigão D'Oeste,1100098,Ji-Paraná,Cacoal,Leste Rondoniense
GUAJARA MIRIM,RO,Guajará-Mirim,1100106,Porto Velho,Porto Velho,Madeira-Guaporé
JARU,RO,Jaru,1100114,Porto Velho,Jaru,Leste Rondoniense
JI PARANA,RO,Ji-Paraná,1100122,Ji-Paraná,Ji-Paraná,Leste Rondoniense
MACHADINHO DOESTE,RO,Machadinho D'Oeste,1100130,Porto Velho,Jaru,Leste Rondoniense
NOVA BRASILANDIA DOESTE,RO,Nova Brasilândia D'Oeste,1100148,Ji-Paraná,Cacoal,Leste Rondoniense
OURO PRETO DO OESTE,RO,Ouro Preto do Oeste,1100155,Ji-Paraná,Ji-Paraná,Leste Rondoniense
PIMENTA BUENO,RO,Pimenta Bueno,1100189,Ji-Paraná,Cacoal,Leste Rondoniense
PORTO VELHO,RO,Porto Velho,1100205,Porto Velho,Porto Velho,Madeira-Guaporé
PRESIDENTE MEDICI,RO,Presidente Médici,1100254,Ji-Paraná,Ji-Paraná,Leste Rondoniense
RIO CRESPO,RO,Rio Crespo,1100262,Porto Velho,Ariquemes,Leste Rondoniense
ROLIM DE MOURA,RO,Rolim de Moura,1100288,Ji-Paraná,Cacoal,Leste Rondoniense
